skill_name,verdict,score,score_scale,confidence,num_patterns,num_raw_patterns,num_executed_patterns,num_intent_only_patterns,num_high_executed_patterns,num_medium_executed_patterns,reason,outdir
"cisco-ai-defense-skill-scanner-environment-secrets","malicious","100.0","0-100","high","5","5","1","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-environment-secrets"
"cisco-ai-defense-skill-scanner-eval-execution","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-eval-execution"
"cisco-ai-defense-skill-scanner-exfiltrator","malicious","100.0","0-100","high","4","4","1","3","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-exfiltrator"
"cisco-ai-defense-skill-scanner-file-reader","malicious","96.5","0-100","high","3","3","1","2","0","0","Dynamic risk score 96.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-file-reader"
"cisco-ai-defense-skill-scanner-file-validator","benign","30.0","0-100","high","1","1","1","0","0","0","Dynamic risk score 30.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-file-validator"
"cisco-ai-defense-skill-scanner-infinite-loop","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-infinite-loop"
"cisco-ai-defense-skill-scanner-jailbreak-override","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-jailbreak-override"
"cisco-ai-defense-skill-scanner-magic-string-trigger","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-magic-string-trigger"
"cisco-ai-defense-skill-scanner-prompt-injection","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-prompt-injection"
"cisco-ai-defense-skill-scanner-simple-math","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/cisco-ai-defense-skill-scanner-simple-math"
"clawsights-clawsights-dot-agents-skills-clawsights","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/clawsights-clawsights-dot-agents-skills-clawsights"
"clawsights-clawsights-skills-clawsights","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/clawsights-clawsights-skills-clawsights"
"cybertechajju-productivity-boost-skills-productivity-boost","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cybertechajju-productivity-boost-skills-productivity-boost"
"cybertechajju-version-demo-helper","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cybertechajju-version-demo-helper"
"cybertechajju-version-demo-skills-helper","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/cybertechajju-version-demo-skills-helper"
"danielmiessler-paiplugin-skills-always-init","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/danielmiessler-paiplugin-skills-always-init"
"dauquangthanh-hanoi-rainbow-skills-rpg-migration-analyzer","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/dauquangthanh-hanoi-rainbow-skills-rpg-migration-analyzer"
"devxoul-agent-messenger-skills-agent-discord","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/devxoul-agent-messenger-skills-agent-discord"
"dglowacki-mega-agent-v2-dot-claude-skills-skill-find","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/dglowacki-mega-agent-v2-dot-claude-skills-skill-find"
"dibenkobit-solaris-dot-agents-skills-private-diary","benign","50.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 50.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/dibenkobit-solaris-dot-agents-skills-private-diary"
"dibenkobit-solaris-skills-private-diary","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/dibenkobit-solaris-skills-private-diary"
"doccker-cc-use-exp-dot-claude-skills-ruanzhu","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/doccker-cc-use-exp-dot-claude-skills-ruanzhu"
"dreamineering-meme-times-dot-claude-skills-community-architect","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/dreamineering-meme-times-dot-claude-skills-community-architect"
"dreamineering-meme-times-dot-claude-skills-meme-pumper","malicious","91.5","0-100","high","3","3","1","2","0","0","Dynamic risk score 91.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/dreamineering-meme-times-dot-claude-skills-meme-pumper"
"dtinth-agent-skills-discord","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/dtinth-agent-skills-discord"
"eraserlabs-eraser-io-skills-azure-diagrams","malicious","91.5","0-100","high","3","3","1","2","0","0","Dynamic risk score 91.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/eraserlabs-eraser-io-skills-azure-diagrams"
"eraserlabs-eraser-io-skills-terraform-diagrams","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/eraserlabs-eraser-io-skills-terraform-diagrams"
"escapewu-skills-skills-CPA-antigravity-RT-exract","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/escapewu-skills-skills-CPA-antigravity-RT-exract"
"feed-mob-agent-skills-skills-civitai-analyst","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/feed-mob-agent-skills-skills-civitai-analyst"
"galz10-pickle-rick-extension-skills-load-pickle-persona","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/galz10-pickle-rick-extension-skills-load-pickle-persona"
"gchan-bad-humanizer","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/gchan-bad-humanizer"
"gchan-bad-humanizer-bad-humanizer","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/gchan-bad-humanizer-bad-humanizer"
"gmh5225-awesome-game-security-dot-claude-skills-anti-cheat","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/gmh5225-awesome-game-security-dot-claude-skills-anti-cheat"
"gmh5225-awesome-game-security-dot-claude-skills-graphics-api","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/gmh5225-awesome-game-security-dot-claude-skills-graphics-api"
"h1paastha-test-skill","malicious","93.5","0-100","high","2","2","0","2","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/h1paastha-test-skill"
"henryxv-study-platform-dot-agent-skills-vercel-deploy","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/henryxv-study-platform-dot-agent-skills-vercel-deploy"
"jitha-afk-projectscourgewizard-dot-agents-skills-security-review","malicious","100.0","0-100","high","6","6","0","6","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/jitha-afk-projectscourgewizard-dot-agents-skills-security-review"
"karlorz-cloudrouter-skills-cloudrouter","benign","41.5","0-100","medium","3","3","1","2","0","0","Dynamic risk score 41.5 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/karlorz-cloudrouter-skills-cloudrouter"
"lannieyoo-gangwon-business-portal-dot-agent-skills-learning-brightspace_scraper","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/lannieyoo-gangwon-business-portal-dot-agent-skills-learning-brightspace_scraper"
"luoluoluo22-jianying-editor-skill","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/luoluoluo22-jianying-editor-skill"
"manaflow-ai-cloudrouter-dot-agents-skills-cloudrouter","malicious","100.0","0-100","high","5","5","2","3","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/manaflow-ai-cloudrouter-dot-agents-skills-cloudrouter"
"manojbajaj95-gtm-skills-skills-community-architect","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/manojbajaj95-gtm-skills-skills-community-architect"
"manojbajaj95-gtm-skills-skills-leadgenius-api","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/manojbajaj95-gtm-skills-skills-leadgenius-api"
"matteocervelli-llms-dot-claude-skills-whitelist-bypass-skill","benign","53.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 53.5 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/matteocervelli-llms-dot-claude-skills-whitelist-bypass-skill"
"mcpcat-skills-skills-install-mcpcat-typescript","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_malicious_output_final/batch_detect_malicious/mcpcat-skills-skills-install-mcpcat-typescript"
"mindverse-second-me-skills-skills-secondme-reference","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/mindverse-second-me-skills-skills-secondme-reference"
"mitsuhiko-agent-commands-skills-google-workspace","benign","37.2","0-100","medium","2","2","0","2","0","0","Dynamic risk score 37.2 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/mitsuhiko-agent-commands-skills-google-workspace"
"mitsuhiko-agent-stuff-skills-google-workspace","benign","37.2","0-100","medium","2","2","0","2","0","0","Dynamic risk score 37.2 did not exceed the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/mitsuhiko-agent-stuff-skills-google-workspace"
"mvanhorn-clawdbot-skill-parallel","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/mvanhorn-clawdbot-skill-parallel"
"natemcgrady-slack-gif-creator-slack-gif-creator","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/natemcgrady-slack-gif-creator-slack-gif-creator"
"netcode-openclaw-skills-old-fork-base-agent","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-base-agent"
"netcode-openclaw-skills-old-fork-bybit-agent","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-bybit-agent"
"netcode-openclaw-skills-old-fork-linkedin-job-application","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-linkedin-job-application"
"netcode-openclaw-skills-old-fork-polymarket-assistant","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-polymarket-assistant"
"netcode-openclaw-skills-old-fork-polymarket-bot","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-polymarket-bot"
"netcode-openclaw-skills-old-fork-polymarket-hyperliquid-trading","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-polymarket-hyperliquid-trading"
"netcode-openclaw-skills-old-fork-polymarket-trading","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-polymarket-trading"
"netcode-openclaw-skills-old-fork-polymarket-traiding-bot","malicious","90.7","0-100","high","3","3","0","3","0","0","Dynamic risk score 90.7 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-polymarket-traiding-bot"
"netcode-openclaw-skills-old-fork-polymarketagent","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-polymarketagent"
"netcode-openclaw-skills-old-fork-proxy-scrap","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-proxy-scrap"
"netcode-openclaw-skills-old-fork-reddit-trends","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/netcode-openclaw-skills-old-fork-reddit-trends"
"ninehills-skills-skills-firecrawl","malicious","92.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 92.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/ninehills-skills-skills-firecrawl"
"ninehills-skills-skills-vercel-deploy","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/ninehills-skills-skills-vercel-deploy"
"one-box-u-openclaw-daily-hot-news","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/one-box-u-openclaw-daily-hot-news"
"openclaw-hightower6eu-autoupdate","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_malicious_output_final/batch_detect_malicious/openclaw-hightower6eu-autoupdate"
