skill_name,verdict,score,score_scale,confidence,num_patterns,num_raw_patterns,num_executed_patterns,num_intent_only_patterns,num_high_executed_patterns,num_medium_executed_patterns,reason,outdir
"claude-code-headless","malicious","100.0","0-100","high","7","7","1","6","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/claude-code-headless"
"claude-code-hooks","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/claude-code-hooks"
"claude-code-templates","benign","37.2","0-100","medium","2","2","0","2","0","0","Dynamic risk score 37.2 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/claude-code-templates"
"code-quality","malicious","93.5","0-100","high","2","2","0","2","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/code-quality"
"code-review","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/code-review"
"code-search","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/code-search"
"code-stats","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/code-stats"
"coder","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/coder"
"codex","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/codex"
"codex-review","malicious","92.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 92.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/codex-review"
"codex-review-file","malicious","92.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 92.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/codex-review-file"
"codex-review-security","benign","38.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 38.5 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/codex-review-security"
"completion-gate","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/completion-gate"
"configuring-slots","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/configuring-slots"
"container-orchestration","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/container-orchestration"
"create-pr","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/create-pr"
"data-fetching","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/data-fetching"
"data-processing","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/data-processing"
"debugging","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/debugging"
"dependency-coordination","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/dependency-coordination"
"deployment","malicious","92.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 92.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/deployment"
"design-lab","malicious","100.0","0-100","high","5","5","1","4","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/design-lab"
"design-patterns","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/design-patterns"
"designing-inkmon","malicious","100.0","0-100","high","3","3","1","2","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/designing-inkmon"
"dev-client","benign","38.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 38.5 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/dev-client"
"difit","malicious","100.0","0-100","high","4","4","2","2","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/difit"
"doc-scanner","malicious","93.5","0-100","high","2","2","0","2","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/doc-scanner"
"doc-search","benign","22.0","0-100","high","1","1","0","1","0","0","Dynamic risk score 22.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/doc-search"
"docker-ops","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/docker-ops"
"docs","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/docs"
"docs-sync","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/docs-sync"
"docs-synchronize","malicious","88.0","0-100","medium","2","2","1","1","0","0","Dynamic risk score 88.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/docs-synchronize"
"documentation","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/documentation"
"e2e","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/e2e"
"explain","malicious","90.0","0-100","high","2","2","0","2","0","0","Dynamic risk score 90.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/explain"
"explorer","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/explorer"
"exploring-project","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/exploring-project"
"extract-transcripts","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/extract-transcripts"
"feedback-to-linear","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/feedback-to-linear"
"file-search","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/file-search"
"find-replace","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/find-replace"
"front-end-skill","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/front-end-skill"
"gap-analysis","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/gap-analysis"
"ghostty-configure","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/ghostty-configure"
"git-best-practices","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/git-best-practices"
"git-commit-workflow","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/git-commit-workflow"
"git-pr-workflow","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/git-pr-workflow"
"git-rebase","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/git-rebase"
"git-workflow","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/git-workflow"
"github-repo-setup","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/github-repo-setup"
"go-best-practices","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/go-best-practices"
"handling-colors","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/handling-colors"
"handling-tarrays","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/handling-tarrays"
"hex-atb-battle","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/hex-atb-battle"
"hexagonal-grids","benign","38.0","0-100","medium","2","2","1","1","0","0","Dynamic risk score 38.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/hexagonal-grids"
"implementation-checklist","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/implementation-checklist"
"integration-finder","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/integration-finder"
"introspect","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/introspect"
"ios-accessibility-audit","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/ios-accessibility-audit"
"ios-hig-rn-basics","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/ios-hig-rn-basics"
"ios-motion-feedback","malicious","90.0","0-100","high","2","2","0","2","0","0","Dynamic risk score 90.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/ios-motion-feedback"
"ios-navigation-architecture","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/ios-navigation-architecture"
"ios-screen-review","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/ios-screen-review"
"jira-agile","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-agile"
"jira-auth","malicious","100.0","0-100","high","5","5","0","5","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-auth"
"jira-issues","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-issues"
"jira-project-management","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-project-management"
"jira-projects","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-projects"
"jira-safe","malicious","100.0","0-100","high","5","5","1","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-safe"
"jira-safe-jira-workflow","malicious","88.5","0-100","medium","2","2","0","2","0","0","Dynamic risk score 88.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-safe-jira-workflow"
"jira-search","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-search"
"jira-spaces","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-spaces"
"jira-transitions","malicious","97.0","0-100","high","3","3","0","3","0","0","Dynamic risk score 97.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-transitions"
"jira-workflow","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/jira-workflow"
"knowledge","benign","37.2","0-100","medium","2","2","0","2","0","0","Dynamic risk score 37.2 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/knowledge"
"learn","benign","22.0","0-100","high","1","1","0","1","0","0","Dynamic risk score 22.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/learn"
"learn-off","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/learn-off"
"learn-on","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/learn-on"
"learn-reset","benign","0.0","0-100","high","0","0","0","0","0","0","No malicious dynamic or intent evidence was detected.","workshop_benign_output_final/batch_detect_benign/learn-reset"
"linear","malicious","100.0","0-100","high","4","4","0","4","0","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/linear"
"linus-coding-standards","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/linus-coding-standards"
"markitdown","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/markitdown"
"mcp-efficiency","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/mcp-efficiency"
"meta-skill-creator","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/meta-skill-creator"
"meta-skill-creator-agentic-orchestration","benign","35.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 35.0 did not exceed the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/meta-skill-creator-agentic-orchestration"
"nix-best-practices","malicious","100.0","0-100","high","4","4","1","3","1","0","Dynamic risk score 100.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/nix-best-practices"
"openai-image-gen","malicious","93.5","0-100","high","3","3","0","3","0","0","Dynamic risk score 93.5 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/openai-image-gen"
"orchestrate","malicious","85.0","0-100","medium","1","1","0","1","0","0","Dynamic risk score 85.0 exceeded the malicious threshold 80.0.","workshop_benign_output_final/batch_detect_benign/orchestrate"
